Ulba;4.76
Balkhash;4.52
Uba;3.45
Bukhtarma;3.22
Ilek;3.2
Khorgos;3.08
Shu;2.84
Ile;2.25
Ili;2.25
Teke;2.06
Keles;1.94
Bayankol;1.83
Sharyn;1.75
Kapshagai_reservoir;1.68
Bartogay;1.63
Badam;1.6
Assa;1.47
Bolshaya_Almatinka;1.34
Syrdarya;1.3
Nura;1.17
Ishim;1.11
Chagan;1.01
Talas;0.92
Ural;0.87
Derkul;0.85
Irtysh;0.81
Ak-Bulak;0.68
Vyacheslavskoe;0.67
Big_Chebache;0.66
Tobol;0.63
Borovoe;0.52
Shuchie;0.44
